predict_type,known_columns,num_known_columns,secret_column,predicted_value,true_value,prediction,base_confidence,attack_confidence
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,1.0,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.162
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,1.0,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.154
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,1.0,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.24
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,0.7575,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.846
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,True,False,0.68,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.177
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,1.0,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.321
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,1.0,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.24
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,1.0,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.282
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,1.0,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.481
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,0.6916666666666668,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.321
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,1.0,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.308
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,1.0,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.462
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,1.0,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.231
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,1.0,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.123
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,1.0,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.221
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,1.0,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.055
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,1.0,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.069
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,1.0,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.443
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,1.0,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.462
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,0.53,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.423
base,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,0.95,
attack,"[""Accident"", ""Age"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,GoodStudent,False,False,True,,0.962
