secret_column,base_prec,base_recall,attack_prec,attack_recall,alc,base_count,attack_count,base_ci,base_ci_low,base_ci_high,base_n,attack_ci,attack_ci_low,attack_ci_high,attack_n
GoodStudent,1.0,0.08450704225352113,0.8333333333333334,0.08450704225352113,-4.31208166020323,71,71,0.3903342879021654,0.6096657120978346,1.0,6,0.5334494524381634,0.4364971778135299,0.9699466302516934,6
GoodStudent,1.0,0.30985915492957744,0.8636363636363636,0.30985915492957744,-32.9620156491387,71,71,0.14865487460862092,0.8513451253913791,1.0,22,0.2858598345251646,0.6666501283342828,0.9525099628594474,22
GoodStudent,1.0,0.43661971830985913,0.9032258064516129,0.43661971830985913,-65.5327275677584,71,71,0.11025539546043595,0.889744604539564,1.0,31,0.21553474027073105,0.7510006155660716,0.9665353558368026,31
GoodStudent,1.0,0.5915492957746479,0.9047619047619048,0.5915492957746479,-243.93363266060217,71,71,0.08379879086570396,0.916201209134296,1.0,42,0.1829888092801364,0.7793489419142897,0.9623377511944261,42
GoodStudent,1.0,0.676056338028169,0.9166666666666666,0.676056338028169,-480.0974236740258,71,71,0.07410012966611734,0.9258998703338824,0.9999999999999998,48,0.1626492610855811,0.8044669820963272,0.9671162431819083,48
GoodStudent,1.0,0.8028169014084507,0.9298245614035088,0.8028169014084507,-1489.3463482670961,71,71,0.06313883485297889,0.9368611651470209,0.9999999999999998,57,0.1393752807312707,0.8329982990396632,0.9723735797709339,57
GoodStudent,1.0,0.8450704225352113,0.9333333333333333,0.8450704225352113,-2069.7478095688753,71,71,0.060171852142089755,0.93982814785791,0.9999999999999998,60,0.13302487440746547,0.8407464268680284,0.9737713012754938,60
GoodStudent,0.984375,0.9014084507042254,0.9375,0.9014084507042254,-1.5223408642267706,71,71,0.0805774740776053,0.9166589839990573,0.9972364580766626,64,0.12540364952546867,0.8500251490779133,0.9754287986033819,64
GoodStudent,0.9850746268656716,0.9436619718309859,0.9402985074626866,0.9436619718309859,-1.5213586802181387,71,71,0.07717905146370219,0.9201813768022188,0.997360428265921,67,0.12023565927389634,0.8563049895862846,0.976540648860181,67
GoodStudent,0.971830985915493,1.0,0.9436619718309859,1.0,-0.5139070700323929,71,71,0.08925573758381111,0.9029849988335054,0.9922407364173165,71,0.11397153869807275,0.8639039420002306,0.9778754806983033,71
SocioEcon,1.0,0.05472636815920398,0.8181818181818182,0.05472636815920398,-2.892344200372469,201,201,0.25883296696803193,0.7411670330319683,1.0000000000000002,11,0.4256128722147592,0.5230194380391558,0.948632310253915,11
SocioEcon,0.9772727272727273,0.43781094527363185,0.6363636363636364,0.43781094527363185,-7.436389710092412,201,201,0.07287052528886362,0.9208745464473241,0.9937450717361878,88,0.1970941168394622,0.5321128870350563,0.7292070038745185,88
SocioEcon,0.9811320754716981,0.527363184079602,0.660377358490566,0.527363184079602,-8.507509240134695,201,201,0.061009663332262765,0.9338007278881414,0.9948103912204042,106,0.17748372307456928,0.5660266583141396,0.7435103813887088,106
SocioEcon,0.9318181818181818,0.6567164179104478,0.6515151515151515,0.6567164179104478,-2.192527765542559,201,201,0.08822172798008421,0.8754959371651042,0.9637176651451884,132,0.16048562680982692,0.5669876431407519,0.7274732699505788,132
SocioEcon,0.918918918918919,0.736318407960199,0.6486486486486487,0.736318407960199,-1.8008373008162426,201,201,0.08938199995926355,0.8636296291919721,0.9530116291512356,148,0.15205141292192015,0.5688622587289639,0.720913671650884,148
SocioEcon,0.9119496855345912,0.7910447761194029,0.660377358490566,0.7910447761194029,-1.5539259593733181,201,201,0.08918901430321124,0.8576372124261619,0.9468262267293731,159,0.14567219776569085,0.5837579293497205,0.7294301271154113,159
SocioEcon,0.888235294117647,0.845771144278607,0.6470588235294118,0.845771144278607,-1.1993802906138524,201,201,0.09523215891645676,0.8320401915356465,0.9272723504521032,170,0.14222579632968735,0.5726962953934424,0.7149220917231297,170
SocioEcon,0.8756756756756757,0.9203980099502488,0.6216216216216216,0.9203980099502488,-1.1486778855306499,201,201,0.09535232424365703,0.8203574277160397,0.9157097519596967,185,0.13843096335332783,0.549932083378761,0.6883630467320888,185
SocioEcon,0.8601036269430051,0.9601990049751243,0.6269430051813472,0.9601990049751243,-0.9498535598602439,201,201,0.09793051986195811,0.8041107659041505,0.9020412857661086,193,0.13521136718065974,0.5568599658047878,0.6920713329854475,193
SocioEcon,0.8507462686567164,1.0,0.6318407960199005,1.0,-0.8427369396101205,201,201,0.09847858270578014,0.7949293179017015,0.8934079006074817,201,0.13218887223863784,0.5632739063664496,0.6954627786050874,201
